Кривой Рог,Кривий Ріг,Krivoy Rog
Никополь,Нікополь.,Nikopol.
Белицкое,Беліцький,Belitsky
Приволье,Прикордонний,Privory
Теребовля,Теребовля,Tereball
Переяслав,Переяслав,Pereyaslav
Белозёрское,Білознеское,Belozërskoe
Шумск,Шумний,Shumy
Миусинск,Музинськ.,Musinsk.
Мироновка,Миронівка,Mironovka
Северодонецк,Северодонецьк,Severodonetsk
Благовещенское,Благовєщенське,Blagoveshchenskoye
Хыров,Хров,Khrov
Вольногорск,Wolnogorsk,Wolnogorsk
Глухов,Глухов,Glukhov
Сновск,Сновськ.,Snovsk.
Саки,Саки,Saki
Алёшки,Alyoshki.,Alyoshki.
Мена,Місяць,Moon
Берестечко,Берестечко,Berestechko
Корец,Кореля,Correle
Герца,Герца,Herz
Татарбунары,Татарбунор,Tatarbunor
Горишние Плавни,Кружляний,Circling smooth
Бахчисарай,Бахчисарай.,Bakhchisarai.
Бурынь,Бурінь,Buryn
Раздельная,Окремий,Separate
Николаев,Миколаїв,Nikolaev
Бунге,Пучок,Bunge
Пустомыты,Пустоломія,Pustolomy
Жёлтые Воды,Жовті Води,Yellow Waters
Могилёв-Подольский,Могильов-Подільський,Mogilyov-Podolsky
Борзна,Мозковий,Bizna
Ровеньки,Ровеньки,Rovenki
Владимир-Волынский,Володимир-Волинський,Vladimir-Volynsky
Пятихатки,Пятихатки,Pyatihatki
Сорокино,Сорокіно,Sorokino
Ичня,Ірниця,Irnia
Камень-Каширский,Камен-Каширський,Kamen-Kashirsky
Мирноград,Мирноград,Mirnograd
Славянск,Слов'янськ,Slavyansk
Каменка,Кам'янка,Kamenka
Бережаны,Беря,Berja
Днепрорудное,Дніпродуе,Dneprudnoye
Ямполь,Ямпол.,Yampol.
Новая Одесса,Нова Одеса,New Odessa
Новоднестровск,Новоднестровск,Novodestrovsk
Березовка,Березовка,Berezovka
Кодыма,Коди,Codes
Украинск,Український,Ukrainian
Чернигов,Чернігів,Chernigov
Купянск,Куп'янськ,Kupyansk
Карловка,Карловець,Carlowk
Червоноград,Червоноград,Chervonograd
Нововолынск,Нововолинськ,Novovolynsk
Зеленодольск,Зеленодольськ,Zelenodolsk
Болехов,Бьенов,Böhnov
Луцк,Луцьк,Lutsk
Первомайский,Первомайський,Pervomaysky
Дергачи,Дергачи,Dergachi
Красногоровка,Красногорівка,Krasnogorovka
Здолбунов,Здолбунов,Zdolbunov
Балаклея,Балаклай,Balaclay
Южноукраинск,Южноукраїнськ,Yuzhnoukrainsk
Новоукраинка,Новоукраинка,Novoukrainka
Баштанка,Баштанка,Bashtanka
Вараш,Його талія,His waist
Белая Церковь,Біла Церква,White church
Вилково,Wilkovo,Wilkovo
Дружковка,Дружківка,Druzhkovka
Вольнянск,Вольнянський,Volnyansk
Заводское,Завод,Factory
Помошная,Допоміжний,Auxiliary
Первомайськ,Первомайськ,Pervomaysk
Хорол,Хорол,Khorol
Малин,Малин,Malin
Корюковка,Корюуковка,Koryukovka
Должанск,Должанськ,Dolzhansk
Берислав,Берислав,Berislav
Сколе,Сколе,Skole
Калуш,Калуш,Kalush
Бердичев,Бердичів,Berdichev
Константиновка,Константинівка,Konstantinovka
Угледар,Подивитися,See
Ладыжин,Ледіжин,Ladyzhin
Дунаевцы,Дунаєвці,Dunaevtsy
Городище,Городище,Gorodishche
Черкассы,Черкаси,Cherkasy
Сквира,Скручувати,Squirm
Горское,Лісництво,Forestry
Кальмиусское,Калієр,Calmius
Чигирин,Чигирин,Chigirin
Приморск,Приморський,Primorsk
Тростянец,Тростинянець,Trostyanets
Дубно,Дубно,Dub
Малая Виска,Невеликий храм,Small temple
Северск,Сіверськ,Seversk
Олевск,Олевськ,Olevsk
Путивль,Путивль,Putivle
Алмазная,Алмаз,Diamond
Харцызск,Харцизьк,Khartsyzsk
Корсунь-Шевченковский,Корсун-Шевченковський,Korsun-Shevchenkovsky
Пивденное,Південна,Pivdenne
Броды,Броди.,Brody.
Алчевск,Алчевськ,Alchevsk
Скадовск,Скадовськ,Skadovsk
Каменка-Днепровская,Кам'янка-Дніпровська,Kamenka-Dneprovskaya
Сосновка,Сосновка,Sosnovka
Вишнёвое,Вишневий,Cherry
Золочев,Золочев,Zolochev
Брянка,Брянка,Bryanka
Чистяково,Прибиральник,Cleaner
Калиновка,Калінівка,Kalinovka
Зимогорье,Зимогір'я,Zimogorye
Зборов,Хор,Choir
Белогорск,Белогорськ,Belogorsk
Крестовка,Хрест,Cross
Вашковцы,Вашковці,Vashkovtsy
Скалат,Скакати,Scalat
Белгород-Днестровский,Білгород-Дністровський,Belgorod-Dnestrovsky
Тальное,Високий,Tall
Новый Буг,Нова помилка,New Bug
